Ranking,UserID,PageValue,OutDegree,InDegree
62,5668,7.495e-04,46,181
63,5868,7.478e-04,30,122
64,6052,7.473e-04,32,195
65,596,7.451e-04,214,22
66,2850,7.420e-04,112,66
67,2573,7.400e-04,141,93
68,390,7.347e-04,174,10
69,6357,7.320e-04,102,65
70,1321,7.246e-04,42,9
71,3018,7.118e-04,121,92
72,4703,7.020e-04,58,101
73,3634,7.018e-04,160,29
74,3899,7.017e-04,80,112
75,5536,6.971e-04,31,119
76,1701,6.949e-04,147,59
77,5335,6.870e-04,72,83
78,4155,6.855e-04,77,94
79,566,6.667e-04,146,11
80,6071,6.637e-04,157,46
81,5217,6.626e-04,55,143
82,3763,6.585e-04,41,47
83,6967,6.560e-04,8,98
84,5046,6.546e-04,47,132
85,3486,6.528e-04,54,51
86,6781,6.500e-04,4,98
87,4959,6.497e-04,40,79
88,3437,6.483e-04,102,94
89,5928,6.428e-04,12,72
90,4723,6.428e-04,44,102
91,1818,6.423e-04,163,10
92,1966,6.368e-04,140,54
93,806,6.367e-04,129,18
94,6764,6.363e-04,2,197
95,1749,6.261e-04,80,33
96,1235,6.261e-04,89,12
97,379,6.250e-04,95,4
98,6296,6.192e-04,15,69
99,1434,6.179e-04,83,31
100,3914,6.138e-04,77,68
101,543,6.123e-04,148,13
102,1876,6.109e-04,76,21
103,5514,6.101e-04,25,116
104,3798,6.098e-04,79,114
105,2109,6.070e-04,108,52
106,777,6.012e-04,138,20
107,5216,5.996e-04,130,22
108,4270,5.966e-04,71,111
109,6321,5.909e-04,19,138
110,6586,5.806e-04,15,120
111,3597,5.789e-04,88,95
112,2529,5.768e-04,90,63
113,6237,5.706e-04,14,164
114,776,5.704e-04,163,19
115,138,5.699e-04,125,3
116,471,5.683e-04,159,14
117,3718,5.679e-04,28,35
118,5913,5.630e-04,134,6
119,4318,5.615e-04,19,31
120,3472,5.608e-04,67,81
121,1155,5.601e-04,103,27
122,5725,5.589e-04,37,135
123,3809,5.580e-04,36,42
124,2927,5.559e-04,83,68
125,1200,5.559e-04,95,28
126,1253,5.557e-04,22,3
127,3258,5.520e-04,55,36
128,5671,5.514e-04,16,77
129,2536,5.512e-04,65,45
130,225,5.507e-04,49,3
131,1527,5.487e-04,57,24
132,4637,5.486e-04,50,73
133,6658,5.470e-04,11,129
134,3095,5.468e-04,56,32
135,832,5.468e-04,117,22
136,6750,5.464e-04,117,43
137,3099,5.446e-04,89,78
138,3758,5.442e-04,53,70
139,24,5.398e-04,92,0
140,2683,5.390e-04,85,47
141,5218,5.349e-04,15,45
142,1029,5.317e-04,109,18
143,1761,5.297e-04,114,42
144,5491,5.288e-04,28,121
145,5698,5.275e-04,18,64
146,5758,5.261e-04,29,144
147,71,5.230e-04,135,1
148,4217,5.159e-04,47,70
149,1261,5.156e-04,67,15
150,3113,5.145e-04,70,54
151,5443,5.112e-04,23,32
152,3563,5.044e-04,20,24
153,2676,5.040e-04,37,19
154,5140,5.039e-04,36,59
155,5283,5.035e-04,45,109
156,3021,4.996e-04,77,34
157,615,4.970e-04,141,16
158,794,4.929e-04,131,20
159,2701,4.924e-04,43,16
160,5409,4.924e-04,31,119
161,5529,4.917e-04,29,118
162,1499,4.877e-04,42,9
163,3534,4.850e-04,66,87
164,2604,4.838e-04,95,32
165,682,4.830e-04,99,9
166,5460,4.829e-04,28,120
167,6598,4.788e-04,3,48
168,6157,4.771e-04,20,98
169,3572,4.766e-04,35,36
170,5778,4.762e-04,15,84
171,5142,4.750e-04,51,96
172,1548,4.716e-04,94,28
173,1245,4.702e-04,94,16
174,562,4.702e-04,73,5
175,935,4.688e-04,78,19
176,1199,4.682e-04,62,12
177,985,4.678e-04,101,22
178,255,4.664e-04,22,2
179,1299,4.659e-04,95,16
180,5272,4.650e-04,11,34
181,5609,4.638e-04,18,67
182,2198,4.638e-04,101,38
183,1946,4.633e-04,95,33
184,2625,4.633e-04,80,48
185,4367,4.625e-04,45,61
186,2420,4.623e-04,21,12
187,4317,4.620e-04,39,81
188,4878,4.604e-04,17,30
189,6581,4.604e-04,49,56
190,4137,4.586e-04,51,54
191,6958,4.583e-04,2,84
192,3029,4.574e-04,71,67
193,3633,4.551e-04,58,64
194,903,4.545e-04,105,18
195,3243,4.542e-04,31,29
196,2047,4.542e-04,48,25
197,1569,4.539e-04,58,10
198,1325,4.523e-04,91,27
199,1069,4.516e-04,56,17
200,4653,4.512e-04,13,36
201,1425,4.507e-04,82,20
202,1529,4.504e-04,57,15
203,5567,4.496e-04,26,83
204,4070,4.493e-04,44,65
205,1535,4.492e-04,83,30
206,1743,4.484e-04,67,18
207,397,4.483e-04,122,13
208,5001,4.475e-04,36,88
209,5905,4.473e-04,24,117
210,4072,4.472e-04,31,54
211,4198,4.456e-04,6,87
212,4278,4.449e-04,55,92
213,449,4.442e-04,99,6
214,4462,4.435e-04,51,58
215,5479,4.430e-04,11,35
216,3094,4.422e-04,48,36
217,340,4.404e-04,96,4
218,4907,4.404e-04,25,73
219,1938,4.402e-04,71,25
220,4403,4.391e-04,41,60
221,219,4.384e-04,132,4
222,4244,4.377e-04,43,52
223,5766,4.374e-04,4,58
224,2300,4.370e-04,46,32
225,3196,4.362e-04,72,33
226,2351,4.356e-04,42,21
227,2170,4.353e-04,55,33
228,2689,4.352e-04,41,31
229,4046,4.351e-04,45,48
230,3970,4.346e-04,23,45
231,6930,4.343e-04,1,69
232,2074,4.342e-04,49,12
233,68,4.335e-04,113,0
234,5921,4.329e-04,17,63
235,3916,4.326e-04,34,60
236,311,4.319e-04,121,10
237,2862,4.318e-04,72,46
238,2590,4.314e-04,0,70
239,1997,4.285e-04,88,27
240,6180,4.275e-04,8,70
241,3325,4.271e-04,60,56
242,1022,4.263e-04,98,11
243,4392,4.260e-04,37,66
244,4415,4.249e-04,45,67
245,6966,4.248e-04,0,119
246,5997,4.244e-04,14,120
247,5459,4.236e-04,26,95
248,3413,4.235e-04,68,67
249,1668,4.201e-04,45,18
250,4788,4.190e-04,35,64
251,4594,4.178e-04,21,48
252,66,4.174e-04,107,1
253,528,4.167e-04,76,3
254,377,4.160e-04,121,9
255,2513,4.159e-04,51,20
256,5213,4.154e-04,33,87
257,1129,4.151e-04,38,7
258,2768,4.143e-04,37,29
259,4454,4.127e-04,26,42
260,1144,4.106e-04,56,12
261,3904,4.095e-04,48,54
262,3821,4.094e-04,54,48
263,5900,4.092e-04,4,35
264,2819,4.091e-04,23,15
265,14,4.091e-04,78,1
266,5183,4.088e-04,20,50
267,6206,4.063e-04,6,91
268,5489,4.031e-04,9,37
269,6724,4.029e-04,6,93
270,2118,4.020e-04,64,24
271,5016,4.018e-04,33,70
272,1237,4.016e-04,51,20
273,5902,4.015e-04,9,62
274,3642,4.012e-04,24,33
275,2857,3.998e-04,83,0
276,63,3.996e-04,115,1
277,3307,3.986e-04,52,60
278,1416,3.975e-04,79,24
279,6484,3.965e-04,5,113
280,6173,3.955e-04,14,63
281,3544,3.953e-04,26,49
282,4837,3.950e-04,7,22
283,4373,3.949e-04,27,36
284,1464,3.940e-04,92,29
285,3502,3.933e-04,20,19
286,6968,3.927e-04,0,64
287,3150,3.925e-04,51,50
288,1134,3.922e-04,71,18
289,2433,3.913e-04,73,41
290,6191,3.912e-04,11,55
291,544,3.911e-04,83,6
292,4678,3.908e-04,36,83
293,4881,3.906e-04,13,80
294,1886,3.902e-04,88,31
295,6087,3.892e-04,10,111
296,5294,3.887e-04,30,86
297,3526,3.886e-04,53,63
298,4239,3.881e-04,50,45
299,4180,3.880e-04,26,39
300,6380,3.867e-04,3,51
301,4188,3.865e-04,20,37
302,2240,3.859e-04,76,43
303,6034,3.858e-04,11,100
304,3265,3.844e-04,42,46
305,210,3.840e-04,76,2
306,4781,3.834e-04,14,48
307,5085,3.834e-04,29,55
308,362,3.834e-04,60,1
309,948,3.833e-04,54,11
310,2322,3.821e-04,67,29
311,5187,3.819e-04,25,60
312,5989,3.819e-04,18,79
313,6359,3.816e-04,10,61
314,1526,3.815e-04,70,21
315,5924,3.807e-04,16,88
316,5819,3.801e-04,5,49
317,6817,3.800e-04,0,19
318,6375,3.786e-04,2,39
319,243,3.782e-04,113,8
320,4632,3.779e-04,34,48
321,6285,3.778e-04,5,55
322,4988,3.777e-04,17,35
323,1563,3.765e-04,64,18
324,2855,3.764e-04,67,29
325,3210,3.763e-04,34,23
326,2241,3.753e-04,48,8
327,1040,3.751e-04,85,26
328,3056,3.749e-04,47,42
329,3905,3.746e-04,28,55
330,5526,3.733e-04,9,58
331,6093,3.730e-04,17,94
332,5493,3.724e-04,12,57
333,4928,3.718e-04,37,82
334,922,3.715e-04,63,5
335,2916,3.713e-04,49,39
336,4172,3.706e-04,24,31
337,6303,3.706e-04,7,81
338,5978,3.706e-04,8,78
339,1203,3.706e-04,67,18
340,4671,3.696e-04,32,85
341,398,3.693e-04,107,9
342,6521,3.693e-04,11,93
343,505,3.691e-04,70,7
344,2272,3.687e-04,47,21
345,6149,3.671e-04,16,87
346,40,3.670e-04,109,0
347,3141,3.663e-04,54,42
348,2538,3.657e-04,34,19
349,4921,3.656e-04,28,78
350,6227,3.635e-04,15,79
351,2617,3.631e-04,11,53
352,484,3.628e-04,30,1
353,7038,3.625e-04,0,62
354,3399,3.620e-04,54,41
355,3514,3.608e-04,49,41
356,5519,3.606e-04,17,55
357,3466,3.598e-04,33,37
358,1964,3.597e-04,70,18
359,2339,3.595e-04,37,22
360,2144,3.591e-04,52,22
361,708,3.580e-04,73,6
362,4038,3.576e-04,23,30
363,1080,3.571e-04,46,10
364,5589,3.566e-04,19,65
365,934,3.565e-04,46,9
366,459,3.564e-04,51,4
367,3456,3.563e-04,27,52
368,1879,3.563e-04,58,23
369,6365,3.553e-04,48,32
370,4762,3.553e-04,35,54
371,6161,3.551e-04,12,60
372,4618,3.536e-04,35,74
373,1957,3.525e-04,62,24
374,4211,3.514e-04,33,45
375,644,3.510e-04,73,5
376,6194,3.502e-04,2,10
377,1890,3.492e-04,11,56
378,5447,3.492e-04,27,61
379,6135,3.483e-04,13,47
380,4899,3.476e-04,13,55
381,5542,3.474e-04,16,60
382,4307,3.468e-04,25,51
383,3153,3.466e-04,38,43
384,5108,3.463e-04,20,38
385,4810,3.460e-04,21,58
386,974,3.459e-04,43,7
387,1210,3.454e-04,81,18
388,3607,3.448e-04,25,25
389,4893,3.447e-04,29,61
390,1408,3.447e-04,58,12
391,3678,3.446e-04,27,48
392,22,3.443e-04,48,0
393,2337,3.441e-04,49,29
394,4946,3.437e-04,12,22
395,5724,3.436e-04,12,67
396,6728,3.429e-04,8,77
397,1719,3.429e-04,57,21
398,3116,3.427e-04,46,55
399,2503,3.426e-04,17,9
400,1839,3.423e-04,34,11
401,5885,3.421e-04,98,3
402,858,3.418e-04,41,2
403,5761,3.408e-04,12,60
404,5889,3.401e-04,11,54
405,2937,3.400e-04,41,34
406,3490,3.397e-04,32,46
407,1812,3.396e-04,76,27
408,5019,3.390e-04,17,42
409,4963,3.376e-04,20,63
410,1944,3.376e-04,60,24
411,312,3.372e-04,56,22
412,3959,3.369e-04,40,35
413,741,3.367e-04,87,15
414,2516,3.357e-04,45,25
415,1707,3.344e-04,24,1
416,6662,3.341e-04,1,72
417,2501,3.329e-04,83,12
418,1327,3.326e-04,66,13
419,5172,3.325e-04,15,43
420,5657,3.318e-04,4,35
421,5906,3.317e-04,14,77
422,5109,3.315e-04,20,57
423,3823,3.313e-04,21,35
424,3508,3.311e-04,94,0
425,3795,3.308e-04,50,12
426,4590,3.306e-04,36,63
427,939,3.304e-04,39,8
428,616,3.299e-04,51,4
429,73,3.297e-04,102,0
430,1993,3.290e-04,62,25
431,1120,3.286e-04,38,9
432,4965,3.281e-04,30,74
433,3762,3.279e-04,11,14
434,6278,3.271e-04,45,37
435,585,3.270e-04,78,9
436,5186,3.270e-04,9,22
437,1302,3.268e-04,13,76
438,4206,3.249e-04,13,45
439,3306,3.245e-04,44,33
440,2042,3.239e-04,66,34
441,536,3.237e-04,65,8
442,1848,3.228e-04,32,21
443,2192,3.227e-04,53,21
444,5692,3.227e-04,18,66
445,6996,3.223e-04,1,89
446,6457,3.216e-04,13,12
447,5340,3.215e-04,19,52
448,3312,3.214e-04,40,52
449,2247,3.205e-04,67,38
450,1493,3.204e-04,51,8
451,6193,3.202e-04,4,59
452,1170,3.191e-04,30,5
453,4430,3.181e-04,29,51
454,3269,3.180e-04,21,31
455,6876,3.173e-04,2,37
456,2045,3.172e-04,39,11
457,3834,3.166e-04,18,23
458,3317,3.162e-04,42,35
459,4694,3.159e-04,17,43
460,4551,3.158e-04,18,56
461,890,3.158e-04,82,13
462,315,3.158e-04,71,4
463,5166,3.156e-04,5,24
464,131,3.153e-04,26,0
465,6995,3.152e-04,1,71
466,1405,3.150e-04,56,14
467,4983,3.149e-04,28,27
468,5909,3.148e-04,10,52
469,568,3.147e-04,78,7
470,6366,3.146e-04,5,30
471,3168,3.144e-04,15,9
472,5004,3.144e-04,6,21
473,2738,3.143e-04,53,29
474,2785,3.140e-04,54,47
475,2928,3.137e-04,36,35
476,4419,3.136e-04,20,32
477,538,3.134e-04,63,6
478,5694,3.134e-04,16,78
479,175,3.133e-04,70,12
480,6822,3.129e-04,10,34
481,579,3.125e-04,79,8
482,1963,3.125e-04,32,12
483,5625,3.124e-04,18,49
484,5354,3.118e-04,17,67
485,5005,3.117e-04,20,3
486,2827,3.115e-04,37,18
487,6112,3.111e-04,12,84
488,493,3.110e-04,50,5
489,6095,3.105e-04,4,55
490,1658,3.104e-04,35,9
491,3270,3.102e-04,19,14
492,285,3.097e-04,64,8
493,610,3.096e-04,59,4
494,2563,3.094e-04,57,20
495,4579,3.094e-04,28,47
496,2303,3.093e-04,41,32
497,6403,3.091e-04,4,54
498,1995,3.090e-04,40,14
499,0,3.085e-04,71,0
500,6225,3.084e-04,5,23
501,977,3.084e-04,50,6
502,5342,3.084e-04,24,63
503,4546,3.080e-04,6,18
504,2918,3.080e-04,47,32
505,3934,3.079e-04,37,57
506,567,3.078e-04,85,12
507,125,3.075e-04,73,0
508,882,3.072e-04,15,6
509,6189,3.072e-04,6,56
510,5310,3.072e-04,15,56
511,3342,3.068e-04,23,18
512,2822,3.068e-04,45,27
513,2458,3.065e-04,21,8
514,2088,3.065e-04,21,5
515,2946,3.063e-04,46,44
516,6320,3.062e-04,7,40
517,6032,3.061e-04,9,58
518,3165,3.057e-04,41,25
519,4262,3.055e-04,15,37
520,5146,3.051e-04,28,67
521,2296,3.049e-04,28,3
522,5196,3.041e-04,14,42
523,1015,3.039e-04,44,7
524,6752,3.035e-04,3,72
525,6960,3.034e-04,1,78
526,1459,3.033e-04,52,14
527,3439,3.032e-04,40,39
528,3011,3.032e-04,35,22
529,6068,3.030e-04,8,49
530,5831,3.022e-04,7,34
531,5065,3.018e-04,5,20
532,691,3.013e-04,55,5
533,436,3.009e-04,46,1
534,1145,3.009e-04,53,11
535,1047,3.006e-04,55,17
536,3967,3.000e-04,31,38
537,1715,2.997e-04,53,14
538,5058,2.995e-04,28,57
539,2908,2.994e-04,39,11
540,3008,2.994e-04,45,40
541,664,2.994e-04,69,8
542,4863,2.993e-04,24,47
543,2507,2.991e-04,59,29
544,5541,2.987e-04,23,56
545,5372,2.987e-04,9,50
546,2063,2.986e-04,50,15
547,2180,2.982e-04,42,23
548,2640,2.979e-04,28,21
549,4276,2.975e-04,37,34
550,4952,2.974e-04,10,41
551,3421,2.969e-04,25,17
552,1303,2.967e-04,62,19
553,3887,2.965e-04,13,21
554,2441,2.959e-04,44,26
555,508,2.956e-04,31,3
556,1510,2.954e-04,42,8
557,2504,2.951e-04,47,27
558,448,2.949e-04,53,2
559,3701,2.946e-04,24,22
560,3289,2.943e-04,34,35
561,276,2.941e-04,63,5
562,3626,2.939e-04,36,44
563,1545,2.935e-04,53,17
564,5577,2.926e-04,11,39
565,798,2.922e-04,78,14
566,296,2.921e-04,47,3
567,6031,2.920e-04,4,28
568,88,2.918e-04,66,1
569,4218,2.916e-04,24,33
570,850,2.916e-04,62,10
571,1418,2.914e-04,60,24
572,3158,2.914e-04,35,35
573,2686,2.911e-04,28,21
574,2836,2.907e-04,45,37
575,1756,2.906e-04,53,10
576,5224,2.906e-04,14,49
577,3623,2.904e-04,26,23
578,6540,2.902e-04,58,18
579,6767,2.902e-04,3,31
580,6440,2.901e-04,35,19
581,4354,2.900e-04,20,23
582,4302,2.891e-04,23,41
583,5490,2.883e-04,19,61
584,3617,2.882e-04,23,24
585,1411,2.882e-04,67,14
586,3531,2.880e-04,12,17
587,2349,2.880e-04,35,19
588,4799,2.880e-04,13,32
589,3881,2.876e-04,19,21
590,2925,2.874e-04,33,35
591,3576,2.873e-04,39,49
592,5756,2.873e-04,5,50
593,1777,2.870e-04,23,10
594,701,2.870e-04,29,4
595,4370,2.869e-04,22,31
596,3952,2.869e-04,34,40
597,11,2.865e-04,57,1
598,3788,2.864e-04,35,32
599,2983,2.861e-04,36,27
600,6455,2.859e-04,4,37
601,7037,2.858e-04,0,39
602,1097,2.856e-04,70,18
603,278,2.854e-04,57,2
604,3641,2.849e-04,33,50
605,126,2.848e-04,83,3
606,3194,2.847e-04,27,29
607,1179,2.847e-04,72,11
608,5221,2.845e-04,11,33
609,529,2.844e-04,29,3
610,4254,2.842e-04,15,24
611,2266,2.840e-04,25,15
612,6077,2.839e-04,33,9
613,2929,2.826e-04,32,22
614,200,2.825e-04,67,3
615,3381,2.821e-04,38,22
616,5020,2.820e-04,17,63
617,1277,2.815e-04,42,10
618,1345,2.813e-04,46,8
619,5598,2.811e-04,18,49
620,875,2.809e-04,17,44
621,5350,2.809e-04,8,38
622,2627,2.809e-04,38,27
623,5073,2.808e-04,16,22
624,4538,2.807e-04,21,37
625,2593,2.806e-04,46,15
626,403,2.802e-04,71,9
627,4485,2.800e-04,15,21
628,3497,2.798e-04,38,27
629,1629,2.797e-04,52,15
630,5706,2.793e-04,12,39
631,6620,2.793e-04,0,42
632,2713,2.791e-04,31,22
633,4388,2.788e-04,31,46
634,6289,2.787e-04,5,68
635,5343,2.787e-04,8,46
636,4165,2.784e-04,11,16
637,3142,2.783e-04,27,24
638,1542,2.781e-04,37,9
639,3777,2.781e-04,42,45
640,3184,2.780e-04,35,35
641,660,2.779e-04,62,9
642,6159,2.774e-04,7,52
643,3440,2.773e-04,17,21
644,4267,2.771e-04,32,49
645,6624,2.770e-04,7,74
646,309,2.769e-04,30,1
647,3145,2.768e-04,27,49
648,4124,2.768e-04,27,43
649,1624,2.766e-04,24,3
650,5659,2.763e-04,13,63
651,4053,2.763e-04,24,40
652,5916,2.761e-04,11,72
653,2019,2.760e-04,36,11
654,2980,2.756e-04,39,24
655,497,2.755e-04,66,5
656,1054,2.754e-04,41,7
657,857,2.753e-04,34,1
658,6172,2.752e-04,8,70
659,981,2.749e-04,5,44
660,3155,2.749e-04,36,47
661,2820,2.745e-04,19,7
662,4384,2.744e-04,25,36
663,124,2.741e-04,62,0
664,1989,2.739e-04,14,9
665,5333,2.738e-04,7,29
666,4862,2.734e-04,25,42
667,4100,2.733e-04,9,15
668,2509,2.733e-04,14,8
669,6667,2.730e-04,2,44
670,1162,2.729e-04,37,10
671,3525,2.728e-04,18,20
672,5252,2.727e-04,14,46
673,4174,2.726e-04,21,29
674,2227,2.723e-04,59,26
675,2306,2.719e-04,49,19
676,6241,2.716e-04,8,62
677,5743,2.715e-04,5,36
678,3376,2.711e-04,25,21
679,3859,2.711e-04,22,22
680,6287,2.711e-04,6,36
681,1267,2.707e-04,59,11
682,4505,2.707e-04,9,25
683,5232,2.703e-04,23,44
684,2979,2.702e-04,27,17
685,4011,2.699e-04,19,27
686,4702,2.696e-04,15,48
687,983,2.694e-04,61,10
688,2398,2.694e-04,13,8
689,2251,2.693e-04,14,7
690,2522,2.691e-04,38,25
691,6048,2.690e-04,4,26
692,6488,2.690e-04,3,26
693,5482,2.688e-04,11,51
694,5508,2.685e-04,7,25
695,5775,2.685e-04,5,21
696,7032,2.683e-04,0,56
697,2542,2.681e-04,29,21
698,5406,2.680e-04,20,54
699,3778,2.680e-04,32,22
700,1651,2.679e-04,21,9
701,5487,2.679e-04,13,56
702,1642,2.673e-04,22,9
703,1615,2.673e-04,32,20
704,1307,2.671e-04,56,15
705,5847,2.671e-04,7,29
706,2762,2.667e-04,33,30
707,360,2.667e-04,19,0
708,4832,2.666e-04,10,34
709,814,2.664e-04,25,4
710,5416,2.662e-04,15,40
711,2389,2.659e-04,22,18
712,392,2.658e-04,44,5
713,4260,2.657e-04,8,21
714,4394,2.656e-04,20,43
715,6527,2.656e-04,1,27
716,5893,2.655e-04,5,27
717,1837,2.654e-04,46,17
718,2728,2.654e-04,11,6
719,3360,2.652e-04,31,28
720,6599,2.650e-04,4,67
721,4325,2.649e-04,24,46
722,406,2.649e-04,44,3
723,5412,2.646e-04,8,32
724,5376,2.645e-04,14,18
725,4014,2.641e-04,30,10
726,6642,2.640e-04,2,62
727,4540,2.635e-04,25,39
728,5812,2.635e-04,9,66
729,1709,2.634e-04,25,9
730,3054,2.634e-04,27,35
731,866,2.633e-04,50,8
732,3853,2.630e-04,25,38
733,2138,2.630e-04,38,20
734,6846,2.629e-04,2,42
735,6742,2.627e-04,2,63
736,1530,2.626e-04,33,6
737,5627,2.625e-04,9,51
738,6732,2.625e-04,20,38
739,5032,2.624e-04,14,31
740,1939,2.624e-04,37,15
741,6714,2.621e-04,1,73
742,2168,2.614e-04,38,23
743,5759,2.613e-04,2,20
744,2884,2.613e-04,24,20
745,999,2.612e-04,46,9
746,803,2.611e-04,58,5
747,5114,2.611e-04,8,29
748,5299,2.610e-04,39,34
749,2101,2.610e-04,38,17
750,2575,2.609e-04,47,19
751,6992,2.608e-04,2,65
752,1695,2.607e-04,36,9
753,6906,2.599e-04,7,55
754,4478,2.596e-04,30,35
755,5242,2.595e-04,24,43
756,4376,2.594e-04,20,30
757,3132,2.592e-04,33,28
758,6858,2.589e-04,2,67
759,3331,2.588e-04,17,22
760,3558,2.584e-04,31,30
761,2931,2.583e-04,9,10
762,5454,2.582e-04,8,53
763,3988,2.579e-04,31,22
764,5495,2.579e-04,7,32
765,54,2.578e-04,41,0
766,2582,2.578e-04,48,17
767,5126,2.575e-04,7,19
768,2209,2.575e-04,22,11
769,3556,2.574e-04,33,47
770,5107,2.574e-04,11,29
771,5575,2.571e-04,6,38
772,6094,2.570e-04,6,72
773,7005,2.569e-04,0,15
774,3234,2.569e-04,33,23
775,2318,2.569e-04,32,23
776,2933,2.565e-04,28,19
777,55,2.560e-04,49,0
778,306,2.558e-04,70,5
779,2801,2.555e-04,27,15
780,4905,2.551e-04,15,27
781,3512,2.550e-04,19,6
782,4596,2.549e-04,10,40
783,3481,2.548e-04,5,13
784,3371,2.547e-04,17,23
785,6494,2.546e-04,3,51
786,4623,2.545e-04,29,39
787,422,2.545e-04,56,2
788,805,2.543e-04,30,5
789,2638,2.542e-04,34,33
790,5402,2.541e-04,6,39
791,630,2.540e-04,71,10
792,5393,2.539e-04,9,50
793,2936,2.538e-04,24,13
794,5680,2.537e-04,33,30
795,5475,2.536e-04,16,43
796,3373,2.533e-04,5,14
797,4518,2.531e-04,20,37
798,4423,2.530e-04,4,14
799,5257,2.529e-04,17,37
800,5592,2.529e-04,10,45
801,1759,2.529e-04,42,12
802,2955,2.528e-04,13,11
803,6427,2.528e-04,30,29
804,831,2.528e-04,60,13
805,3749,2.527e-04,23,36
806,5385,2.526e-04,8,28
807,758,2.526e-04,64,13
808,4877,2.524e-04,20,49
809,1741,2.522e-04,4,2
810,3125,2.521e-04,38,26
811,1436,2.520e-04,48,26
812,348,2.519e-04,37,8
813,1775,2.516e-04,27,8
814,5811,2.512e-04,8,29
815,4883,2.511e-04,15,43
816,6980,2.511e-04,3,72
817,386,2.507e-04,46,12
818,2649,2.506e-04,33,24
819,753,2.506e-04,30,47
820,1342,2.506e-04,38,4
821,5560,2.506e-04,20,16
822,7013,2.505e-04,0,53
823,1458,2.504e-04,46,13
824,2614,2.502e-04,51,26
825,1730,2.502e-04,48,25
826,1323,2.502e-04,17,7
827,692,2.501e-04,30,2
828,3891,2.499e-04,28,26
829,2225,2.499e-04,26,8
830,3652,2.493e-04,17,54
831,3840,2.492e-04,20,17
832,5205,2.491e-04,16,63
833,2596,2.488e-04,26,16
834,5676,2.488e-04,5,34
835,6869,2.485e-04,0,36
836,1039,2.485e-04,27,6
837,1633,2.484e-04,46,17
838,4305,2.483e-04,34,36
839,535,2.483e-04,58,4
840,2797,2.483e-04,25,28
841,5363,2.483e-04,5,10
842,2813,2.481e-04,39,28
843,1891,2.476e-04,59,17
844,3765,2.476e-04,28,45
845,6847,2.475e-04,2,59
846,1431,2.474e-04,36,6
847,1687,2.474e-04,38,21
848,1395,2.471e-04,35,8
849,4936,2.468e-04,14,39
850,2731,2.467e-04,14,14
851,4280,2.467e-04,28,32
852,5496,2.467e-04,17,56
853,5357,2.465e-04,15,42
854,4361,2.462e-04,21,38
855,6435,2.461e-04,5,52
856,5103,2.460e-04,7,30
857,3898,2.459e-04,10,22
858,3861,2.458e-04,35,10
859,364,2.456e-04,56,4
860,3993,2.456e-04,18,24
861,4616,2.455e-04,19,40
862,454,2.454e-04,32,2
863,6802,2.450e-04,1,40
864,2472,2.450e-04,23,13
865,2102,2.449e-04,39,27
866,410,2.448e-04,38,3
867,6918,2.444e-04,2,70
868,3760,2.443e-04,18,28
869,6716,2.443e-04,0,31
870,1693,2.443e-04,38,21
871,6442,2.441e-04,8,55
872,2283,2.440e-04,37,22
873,6041,2.437e-04,11,50
874,928,2.435e-04,36,6
875,4357,2.435e-04,20,37
876,5912,2.433e-04,4,53
877,2803,2.432e-04,38,13
878,3415,2.430e-04,18,17
879,1987,2.429e-04,32,11
880,5851,2.429e-04,13,58
